,Name,Year,Genres,Rating,Duration,Actors,Director,Average Rating,Budget,Opening Weekend,Gross US,Gross WW,Language,Production Company
947,Rush Hour 3,2007,"['Action', 'Comedy', 'Crime', 'Thriller']",P, 91,"['Jackie Chan', 'Chris Tucker', 'Max von Sydow', 'Hiroyuki Sanada']",Brett Ratner,6.2,140000000,49100158,140125968,258022233,"['English', 'French', 'Japanese', 'Mandarin', 'Latin']","['NewLineCinema', 'RogerBirnbaumProductions', 'ArthurSarkissianProductions']"
948,The Simpsons Movie,2007,[],P, 87,[],NA,7.3,75000000,74036787,183135014,526745137,['English'],"['TwentiethCenturyFox', 'GracieFilms', 'TheCuriosityCompany']"
949,Step Up 2: The Streets,2008,"['Drama', 'Music', 'Romance']",P, 98,"['Robert Hoffman', 'Briana Evigan', 'Cassie Ventura', 'Adam Sevani']",Jon M. Chu,6.3,17500000,22125429,58017783 22 May 2008,150816700,"['English', 'Russian']","['TouchstonePictures', 'SummitEntertainment', 'OffspringEntertainment']"
950,Babylon A.D.,2008,[],P,101,[],NA,5.6,70000000,11541571,22531698 16 November 2008,72107734,"['English', 'Russian']","['Babylon', 'MNPEntreprise', 'StudioCanal']"
951,The Bank Job,2008,"['Crime', 'Thriller']",NA,111,"['Jason Statham', 'Saffron Burrows', 'Stephen Campbell Moore', 'Daniel Mays']",Roger Donaldson,7.2,20000000,5935256,30028592 1 June 2008,NA,"['English', 'Latin']","['MosaicMediaGroup', 'RelativityMedia', 'OmnilabMedia']"
952,Disaster Movie,2008,Comedy,P, 87,"['Carmen Electra', 'Vanessa Lachey', 'Nicole Parker', 'Matt Lanter']",NA,1.9,20000000,6945535,14190901 23 October 2008,34816824 15 February 2009,['English'],"['Lionsgate', 'GrosvenorParkMedia', '3intheBox']"
953,Doomsday,2008,[],R,113,[],NA,6.0,30000000,4926565,10955425 6 April 2008,NA,['English'],"['RoguePictures', 'IntrepidPictures', 'CrystalSkyPictures']"
954,Harold & Kumar Escape from Guantanamo Bay,2008,[],R,107,[],NA,6.6,12000000,14908404,38087366 13 July 2008,NA,"['English', 'Spanish', 'French']","['NewLineCinema', 'KingsgateFilms', 'MandatePictures']"
955,Lakeview Terrace,2008,[],NA,110,[],NA,6.1,22000000,15004672,39263506 2 November 2008,NA,['English'],"['ScreenGems', 'OverbrookEntertainment']"
956,Marley & Me,2008,"['Comedy', 'Drama', 'Family']",P,NA,"['Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Kathleen Turner']",David Frankel,7.1,60000000,36367586,143153751 30 April 2009,244082376 3 May 2009,['English'],"['Fox2000Pictures', 'RegencyEnterprises', 'SunsweptEntertainment']"
957,The Mummy: Tomb of the Dragon Emperor,2008,[],P,112,[],NA,5.2,145000000,40457770,102491776 25 September 2008,401128639 8 March 2009,"['English', 'Mandarin', 'Sanskrit']","['UniversalPictures', 'RelativityMedia', 'TheSommersCompany']"
958,Nick and Norah\'s Infinite Playlist,2008,"['Comedy', 'Drama', 'Music', 'Romance']",P, 90,"['Michael Cera', 'Kat Dennings', 'Aaron Yoo', 'Rafi Gavron']",Peter Sollett,6.7,9000000,11311751,31487293 16 November 2008,NA,['English'],"['ScreenGems', 'ColumbiaPicturesCorporation', 'MandatePictures']"
959,Nim\'s Island,2008,"['Adventure', 'Comedy', 'Family', 'Fantasy']",P, 96,"['Jodie Foster', 'Gerard Butler', 'Abigail Breslin', 'Michael Carman']",NA,6.0,37000000,13210579,48006503 22 August 2008,100074624 25 February 2009,['English'],['WaldenMedia']
960,Star Wars: The Clone Wars,2008,"['Animation', 'Action', 'Adventure', 'Family', 'Fantasy', 'Sci-Fi']",P, 98,"['Matt Lanter', 'Nika Futterman', 'Tom Kane', 'Ashley Eckstein']",Dave Filoni,5.9,8500000,14611273,35161554,68282844,['English'],"['LucasfilmAnimation', 'Lucasfilm']"
961,The Strangers,2008,"['Horror', 'Mystery', 'Thriller']",R, 86,"['Scott Speedman', 'Liv Tyler', 'Gemma Ward', 'Alex Fisher']",Bryan Bertino,6.2,10000000,20997985,52597610,82391145,['English'],"['RoguePictures', 'IntrepidPictures', 'VertigoEntertainment']"
962,Transporter 3,2008,[],P,104,[],NA,6.1,30000000,12063452,31715062,108979549,"['English', 'French', 'Ukrainian', 'Russian', 'Hungarian']","['EuropaCorp', 'TF1FilmsProduction', 'GriveProductions']"
963,What Happens in Vegas,2008,"['Comedy', 'Romance']",P, 99,"['Cameron Diaz', 'Ashton Kutcher', 'Rob Corddry', 'Lake Bell']",Tom Vaughan,6.1,35000000,20172474,80277646,219375797,"['English', 'Serbo-Croatian']","['TwentiethCenturyFox', 'RegencyEnterprises', '21LapsEntertainment']"
964,Adventureland,2009,"['Comedy', 'Drama', 'Romance']",R,NA,"['Jesse Eisenberg', 'Kristen Stewart', 'Ryan Reynolds', 'Kelsey Ledgin']",Greg Mottola,6.8,NA,5722039,16025394 24 May 2009,NA,['English'],"['Miramax', 'SidneyKimmelEntertainment', 'ThisIsThatProductions']"
965,Bride Wars,2009,[],P, 89,[],NA,5.5,30000000,21058173,58715510,114663461,['English'],"['Fox2000Pictures', 'RegencyEnterprises', 'NewRegencyPictures']"
966,Fame,2009,"['Comedy', 'Drama', 'Musical', 'Romance']",P,107,"['Kelsey Grammer', 'Bebe Neuwirth', 'Megan Mullally', 'Kay Panabaker']",Kevin Tancharoen,5.1,18000000,10011682,22455510,80227619,['English'],"['Metro-Goldwyn-Mayer(MGM)', 'LakeshoreEntertainment', 'UnitedArtists']"
